showSelected1	x	y	xend	yend
1	-0.395037878787879	-9721.45	10.4950378787879	4653.45
2	-11.463598920318	-9721.45	11.15	3644.86896513343
3	-13.15	-4419.07740601793	11.15	1965.94360680241
4	-13.15	-1751.96352907773	11.15	932.3562846898
5	-13.15	-471.091168357765	11.15	311.526676973172
6	-13.15	450.565615057333	11.15	-228.587948047916
7	-13.15	-768.786764074637	11.15	466.157895640385
8	-13.15	168.813065380578	11.15	-50.6483085223062
9	-13.15	-5898.98000409906	11.15	2438.5539123256
10	-13.15	-2399.90023180697	11.15	1210.10570925118
11	-13.15	-809.388575951506	11.15	486.69342290614
12	-13.15	135.567259732381	11.15	-30.5739728087136
13	-13.15	-9607.81063810499	11.15	3404.44318718277
14	-13.15	-3961.65842942526	11.15	1807.16777480204
15	-13.15	-1546.46619202011	11.15	839.788075943502
16	-13.15	-355.342287600639	11.15	249.306790167983
17	-13.15	576.472185218422	11.15	-314.180680815903
18	-13.15	-335.239724516764	11.15	238.370611398757
19	-13.15	597.518789934861	11.15	-329.043965947704
20	-13.15	-278.749519180127	11.15	207.42377736951
21	-13.15	648.774640897826	11.15	-366.244402031548
22	-13.15	-150.044988843571	11.15	135.672376677831
23	-13.15	526.246739917229	11.15	-258.376677609838
24	-13.15	-991.781763137094	11.15	577.436918636245
25	-13.15	-2.79284027710403	11.15	51.2704766746198
26	-12.2914965060437	-9721.45	-5.89919115379671	4653.45
27	-13.15	-7861.56090403672	-0.928510162209257	4653.45
28	-13.15	-4440.66293659868	5.56617440054457	4653.45
29	-13.15	-2527.74387638148	11.15	3728.51504244756
30	-13.15	-1729.65277153255	11.15	2478.55418384918
